Galactocentric Raidus,Cluster Metallicity,Number of Objects in the Cluster,Cluster Mass,Observational Core Radius,Observational Half-Light Radius,Central Surface Brightness Total,Binary Fraction,Half-Mass Relaxation Time,Total Luminosity of Cluster at 12 Gyrs,Central Velocity Dispersion 3d,Total V-band luminosity,Central surface brightness from King 62 fitting of cumulative luminosity profile from snap-2D.dat,Core radius obtained from King 62 fitting of snap-2D.dat,Half-light radius obtained from King 62 fitting,Total luminosity from snap-2D,Single Black Holes,Binary Black Holes,Black Hole Other Count,Mass of Most Massive Black Hole,Fallback Enabled,Central Velocity Dispersion,,
4.48320946,0.001,477285,158959.004,0.07374098,3.66688402,14760.5291,0.125411,5081.76673,70963.2174,10.8732851,51230.9,2511.76694,1.105788382,3.96865,51230.9,1,0,0,6280.85365,1,11.3177,9429.6,17090
1.585053905,0.001,55031,37206.3438,0.047555658,1.75876998,8823.37471,0.0762661,142.749945,14831.4884,3.35657881,12018.6,2310.978802,0.557328205,1.9293,12018.6,0,0,1,13416.6518,0,28.8276,9074.2,43172
1.585053905,0.001,63717,43776.8071,0.093389248,1.97770114,6575.17939,0.0758824,97.7830313,19202.153,23.8397525,14145.5,3025.239617,0.506559462,1.9516,14145.5,1,0,0,17966.5297,1,38.6924,16292,34195
1.585053905,0.001,46271,31625.336,0.087785486,1.54844617,5521.43005,0.112987,204.828891,20238.1788,3.60710896,13322.8,1737.949965,0.722807151,2.08116,13322.8,0,0,1,8763.42527,0,21.0711,8999.2,30011
1.585053905,0.001,42037,32533.1386,0.259672096,1.94542779,2764.46566,0.114542,98.8345875,17559.1814,18.2482162,12366.3,1185.850456,0.807467276,1.99415,12366.3,1,0,0,12381.1919,1,12.6645,3576.2,14360
12.68043124,0.001,291654,108693.537,1.08412454,7.53489621,400.711288,0.313947,9287.39567,49972.1782,4.34926025,36118.5,792.9294188,1.607386532,7.53609,36118.5,0,0,1,13.5399618,0,2.56217,1024.2,2587.9
12.68043124,0.001,280619,104490.073,3.88929679,7.69950237,125.668306,0.313229,10376.5317,52493.0249,2.06692913,36180.4,222.8682577,4.162860868,9.43971,36180.4,7,2,0,23.2934902,1,2.33508,215.31,1089.3
12.68043124,0.001,602364,191347.272,0.113339072,3.72416032,23138.8736,0.133796,6830.11362,82812.3225,7.81098189,59737.7,2628.063628,1.248273053,3.75195,59737.7,0,1,0,3972.3025,0,6.43304,19941,12048
12.68043124,0.001,595696,190629.063,0.243394361,4.52862841,13604.8333,0.129576,7307.50724,78266.7293,5.18843323,57140.2,1519.107011,1.593985661,4.77003,57140.2,0,0,1,7192.4943,1,8.87519,4450.3,13141
12.68043124,0.001,586377,193522.058,0.415896696,6.07213583,12593.3092,0.186233,10845.9806,87736.3673,13.4875229,61357.6,1528.496082,1.471676273,6.16381,61357.6,2,0,0,2069.43792,0,5.09765,3260.4,7102.3
12.68043124,0.001,556161,191140.991,1.09763787,5.59391862,1167.6234,0.240984,10566.3982,82680.8385,2.50587768,63863.3,2035.979412,1.355119755,5.3179,63863.3,1,2,0,126.037462,1,3.56805,2107.3,5607.5
5.564696279,0.001,269757,95933.8154,0.170120248,2.55789383,11182.2421,0.0272579,2373.03502,49244.5909,3.57541971,37189.9,2757.271601,1.035714623,2.52079,37189.9,0,0,1,2457.15365,0,7.4052,5956,17526
5.564696279,0.001,282228,98123.3021,0.447366158,2.25256374,5327.62131,0.0332178,2269.2059,55391.5695,8.55369449,40894.4,5822.004919,0.640479619,2.4076,40894.4,0,1,0,11.8346036,1,4.40091,8119.9,12978
5.564696279,0.001,306364,106283.942,0.124662368,2.48011192,24656.2502,0.0383955,2968.22719,67202.1041,7.66848685,46286.6,12872.39443,0.377496712,2.72775,46286.6,0,0,0,0,0,4.98859,34388,54276
5.564696279,0.001,261483,91761.5324,3.65121522,5.22508336,401.221738,0.0394175,5069.72908,46656.1089,2.89350902,35036,363.0744121,3.523876985,5.82563,35036,52,4,0,14.2978777,1,3.18779,348.95,1828.3
1.967417237,0.001,10006,11964.5622,0.424349611,1.15308131,1023.14721,0.024985,3.20E-04,7031.71127,3.15441885,4170.26,818.8888243,0.547919196,1.77958,4170.26,1,0,0,6273.47014,0,11.0431,1993.9,9164.1
1.967417237,0.001,33807,21412.6776,0.043043446,1.53962703,4467.39165,0.0234863,257.169685,15560.6551,2.26870585,12854.2,1709.128811,0.813793237,1.81696,12854.2,1,0,0,2541.21447,1,13.6187,9639.4,13809
1.967417237,0.001,48976,28486.9311,0.107980669,2.01975267,3291.37715,0.0253798,373.156497,23826.9152,5.41127066,15588,1821.769395,0.792761853,2.1454,15588,1,0,0,2487.03806,0,7.29191,4346.9,14825
1.967417237,0.001,52731,28888.5855,0.062612042,0.739437768,34995.7395,0.0378525,288.77775,25474.4789,5.75349753,21858.2,18175.36711,0.244782587,0.738614,21858.2,0,0,0,0,1,4.17277,33947,100450
15.7393379,0.001,91281,33071.436,9.2138408,11.7053783,25.7041444,0.0475893,9815.25507,18166.1027,2.38292702,12841.5,36.92682625,4.562675608,11.9472,12841.5,0,0,0,0,0,1.32793,28.858,131.86
15.7393379,0.001,370299,122577.506,0.189932915,3.14448594,16375.8645,0.0378019,4023.52969,66770.7277,6.14708834,50823.5,11267.25577,0.401275762,3.54144,50823.5,0,0,1,7.03599965,0,4.2025,22131,31141
15.7393379,0.001,358501,118098.187,3.12944274,5.19402849,549.059431,0.0387056,6996.66668,60735.7724,3.03295352,44789.7,553.5569155,3.052492313,5.6263,44789.7,37,8,0,15.0426571,1,3.29484,501.03,2103.6
15.7393379,0.001,379230,124837.537,2.19348964,5.54447003,1013.14306,0.0433985,8025.81461,73195.6863,4.80670658,51355.6,1163.737996,1.660381064,5.58355,51355.6,0,0,0,0,0,2.98236,858.36,2882
15.7393379,0.001,351047,117445.151,5.26611047,9.59973707,130.046851,0.0426382,14289.3786,54479.5605,2.39100538,41498,182.5791597,3.306577714,10.5478,41498,157,4,1,23.7406012,1,2.90384,137.4,720.44
5.564696279,0.001,259993,91022.8191,0.487124434,2.00023349,6118.12499,0.0284392,1954.7166,46817.844,2.14269164,35690.5,5796.415473,0.692296548,1.7838,35690.5,0,0,1,627.940347,0,4.68988,6607.9,15347
5.564696279,0.001,275438,96144.9854,0.845866083,1.99371667,4178.16375,0.0344397,2128.16554,47992.2432,5.48744021,37064.8,5656.318266,0.644447447,2.20666,37064.8,1,0,0,7.03599965,1,4.11145,4826.4,11375
5.564696279,0.001,325706,112090.538,0.45532364,2.07285888,7602.97556,0.039158,2545.32507,67801.7073,7.00063793,47866.5,7819.402673,0.593590618,2.36446,47866.5,0,0,0,0,0,4.5152,8759.2,18662
5.564696279,0.001,282757,98065.5813,1.62235362,4.67063164,456.383453,0.0395039,4792.8904,53799.9163,3.0571238,38910.7,649.328809,2.340509518,4.87526,38910.7,56,5,0,15.8749315,1,3.52023,858.74,2297.2
1.967417237,0.001,12322,16831.2167,0.422718621,1.57648555,733.159023,0.0258075,1.21E-04,4097.55253,6.19726909,3417.49,1393.973942,0.370322395,1.41077,3417.49,1,0,0,10468.064,0,8.90135,935.8,3412.4
1.967417237,0.001,27635,18636.5509,0.134978924,1.84906607,2449.81826,0.0199747,208.399386,14349.0241,2.32603454,11056.2,1670.869243,0.674166727,1.91635,11056.2,1,0,0,2842.7283,1,4.89602,4496.8,14872
